ID,Priority,Severity,Category,Module,File,Line,Issue,Description,Impact,Status,Assignee,EstimatedDays,ActualDays,Notes
ISSUE-1,P1,High,Documentation,Duration,duration.pas,491-500,除零抛出异常,"div 运算符在除数为 0 时抛出 EDivByZero 异常（已从饱和策略改为异常策略）",Exception - 需要捕获异常,Closed,,1,0.5,"已实现异常策略：div 和 Divi 在除零时抛出 EDivByZero。XML 文档已说明此行为并推荐使用 CheckedDivBy。与原计划的饱和策略不同，选择异常以符合 Pascal 语言习惯"
ISSUE-2,P1,High,Documentation,Duration,duration.pas,526-533,模零抛出异常,"Modulo 函数在除数为 0 时抛出 EDivByZero 异常（已从饱和策略改为异常策略）",Exception - 需要捕获异常,Closed,,0.5,0.5,"已实现异常策略：Modulo 在除零时抛出 EDivByZero。XML 文档已说明此行为并推荐使用 CheckedModulo。与原计划的饱和策略不同，选择异常以符合 Pascal 语言习惯"
ISSUE-3,P1,High,Bug,Duration,duration.pas,333-363,舍入函数未处理 Low(Int64),"FloorToUs/CeilToUs/RoundToUs 在处理 Low(Int64) 时可能溢出（absNs := -FNs）",Overflow - 崩溃风险,Closed,,1,1,已修复：添加 Low(Int64) 边界检查并饱和到 High(Int64)。新增 5 个测试
ISSUE-4,P2,Medium,Documentation,Duration,duration.pas,287-301,FromSecF 精度损失未文档化,Double 精度不足以表示完整 Int64 范围（~100ns 精度损失）,Precision loss - 用户可能不知情,Closed,,0.5,0.5,已添加详细 XML 文档：精度警告、使用指南、示例代码。新增 6 个测试用例。详见 ISSUE-4-FromSecF-precision-documentation.md
ISSUE-5,P2,Medium,Documentation,Instant,instant.pas,34-88,Diff 饱和行为未文档化,当时间差超过 Int64 范围时饱和到 High/Low(Int64),Precision loss - 50% 误差,Closed,,0.5,0.1,已添加详尽 XML 文档：饱和策略、精度损失说明、使用建议和示例代码。Sprint 1 完成
ISSUE-6,P0,Critical,Bug,Timer,timer.pas,732-809,Timer Schedule 竞态条件,"ScheduleAt/ScheduleAtFixedRate/ScheduleWithFixedDelay 中 RefCount 初始为 0，在 HeapInsert 后、TTimerRef.Create 前可能被提前释放",Data corruption - 内存访问违规/double-free,Closed,,2,2,已修复：初始 RefCount 改为 1；TTimerRef.Create 不再重复 Inc。详见 ISSUE_6_FIX_REPORT.md
ISSUE-7,P2,Medium,Performance,Instant,instant.pas,183-265,比较运算符冗余实现,LessThan -> Compare -> 字段比较（双层调用）,Performance - 不必要的函数调用开销,Closed,,1,1,"已修复：优化9个比较方法（LessThan/GreaterThan/Equal/HasPassed/IsBefore/IsAfter/Clamp/Min/Max）为直接字段比较，消除函数调用开销。性能提升20-30%。详见 ISSUE_7_FIX_REPORT.md 和测试 test_issue7_performance.pas"
ISSUE-8,P3,Low,Refactor,Timeout,timeout.pas,390,Overdue 重复逻辑,使用 -remDur 而不是 remDur.Abs,Code quality - 重复逻辑,Closed,,0.5,0.05,已重构：使用 remDur.Abs 替代负号运算符，代码更清晰。Sprint 1 完成
ISSUE-9,P2,Medium,Enhancement,Timeout,timeout.pas,130-135,缺少比较运算符,"只实现了 =, <, >，缺少 <>, <=, >=",API incompleteness - 不一致,Closed,,0.5,0.1,"已补充：添加 <>, <=, >= 运算符，API 完整性提升。Sprint 1 完成"
ISSUE-10,P2,Medium,Documentation,All,*.pas,All,缺少 XML 文档,所有公共 API 缺少 XML 文档注释,Developer experience - 难以使用,Open,,5,,逐个添加 XML 注释
ISSUE-11,P2,Medium,Style,All,*.pas,All,命名约定不一致,"From* 和 As* 命名不统一",API consistency - 可能混淆,Open,,1,,制定命名规范
ISSUE-12,P3,Low,Performance,Timeout,timeout.pas,130-135,缺少 inline 关键字,TDeadline 运算符缺少 inline 优化,Performance - 轻微性能损失,Closed,,1,0.05,已优化：为 TDeadline 的 6 个运算符重载添加 inline 关键字。Sprint 1 完成
ISSUE-13,P1,High,Documentation,Clock,clock.pas,63-76,时钟语义混淆,IMonotonicClock 返回 TInstant 但语义不同（单调 vs Unix epoch）,API confusion - 用户可能混淆使用,Closed,,3,0.5,已添加详细 XML 文档和警告说明，明确单调时钟仅用于相对时间测量
ISSUE-14,P1,High,Bug,Clock,clock.pas,470-482,Windows QPC 溢出,"QpcNowNs: (UInt64(li) * 1000000000) 可能溢出（58 年后）",Overflow - 长期运行风险,Closed,,1,1,已修复：使用先除后乘分解法，完全消除 64 位溢出风险
ISSUE-15,P3,Low,Bug,Clock,clock.pas,505-513,POSIX 溢出（理论）,"MonoNowNs 溢出需要 584 年，实际不可能",Acceptable - 不可能发生,Closed,,0,,可接受风险
ISSUE-16,P1,High,Bug,Clock,clock.pas,494-510,macOS 溢出,DarwinNowNs: (t * FTBNumer) 可能溢出（175 天后）,Overflow - 中期运行风险,Closed,,1,1,已修复：使用先除后乘分解法，消除 175 天后溢出风险
ISSUE-17,P1,High,Performance,Clock,clock.pas,558-620,WaitFor 自旋 CPU 高,最后 50us 持续 SchedYield 导致 CPU 100%,Performance - CPU 占用过高,Closed,,2,1.5,已修复：引入三阶段策略（极短自旋/微睡眠/常规睡眠），CPU 占用显著降低
ISSUE-18,P2,Medium,Enhancement,Clock,clock.pas,552-593,取消令牌检查频率,10ms 检查一次太慢，快速响应场景延迟高,Responsiveness - 取消延迟,Open,,1,,添加配置选项
ISSUE-19,P1,High,Bug,Clock,clock.pas,689-701,NowUTC 依赖 RTL,LocalTimeToUniversal 在 DST 边界不准确,Accuracy - 时间错误,Closed,,1,1,已修复：Windows 使用 GetSystemTimeAsFileTime，消除 DST 问题
ISSUE-20,P1,High,Bug,Clock,clock.pas,708-731,NowUnixMs 精度损失,TDateTime 精度不足（~1.3ms）且两次调用不一致,Precision loss - 毫秒精度丢失,Closed,,1,1,已修复：Windows 使用 GetSystemTimeAsFileTime，精度提升 13000 倍（100ns）
ISSUE-21,P1,High,Bug,Clock,clock.pas,839-1052,TFixedClock 数据竞争,"FFixedInstant 和 FFixedDateTime 分开更新，并发读取不一致",Data race - 读到不一致状态,Closed,,2,1.5,"已修复：采用单一真实来源策略，只保留 FFixedInstant，所有 DateTime 方法通过转换计算。详见 ISSUE_21_FIX_REPORT.md"
ISSUE-22,P1,High,Bug,Timer,timer.pas,97-114,TTimerEntry 裸指针,使用 record 指针手动引用计数容易泄漏,Memory leak - 条件不满足时泄漏,Closed,,0.5,0.5,"已验证：代码审查显示 RefCount 管理正确。所有路径（调度、取消、回调）均正确递减引用并检查释放条件。Dispose 只在 RefCount=0 且 Dead=true 时调用。现有测试已覆盖场景。"
ISSUE-23,P1,High,Bug,Timer,timer.pas,92-96,全局变量线程安全,GTimerExceptionHandler 无锁保护，读写竞争,Race condition - 可能调用无效地址,Closed,,1,0.5,已修复：添加 GTimerExceptionHandlerLock 保护 setter/getter 和调用点
ISSUE-24,P1,High,Bug,Timer,timer.pas,63,FixedRate 追赶风暴,默认无限制追赶，回调慢时可能连续执行大量次,Performance - 追赶风暴,Closed,,0.5,0.5,已修复：GFixedRateMaxCatchupSteps 默认值改为 3
ISSUE-25,P1,High,Enhancement,Scheduler,scheduler.pas,All,Scheduler 无实现,只有接口定义没有实现,Feature incomplete - 无法使用,Closed,,10,3,"已完成：实现完整的任务调度器（2393行代码），包含5种调度策略（Once/Fixed/Delay/Daily/Weekly/Monthly）、Cron表达式解析、优先级队列、重试机制。21个单元测试全部通过。详见 ISSUE_25_COMPLETE.md"
ISSUE-26,P2,Medium,Performance,Scheduler,scheduler.pas,190,数组返回性能,GetTasks 每次分配新数组拷贝所有元素,Performance - 大量分配,Closed,,1,1,"已完成：实现6个ForEachTask方法（零拷贝回调遍历）。性能相近（100任务×100迭代：ForEachTask 1.01ms vs GetTasks 1.00ms），主要收益是零内存分配。10个单元测试全部通过。详见Test_Issue26_ForEachTask.pas"
ISSUE-27,P2,Medium,Design,Timer,timer.pas,100-106,定时器时钟语义,TTimerEntry.Deadline 是单调还是系统时间？与 Cron 集成冲突,Design ambiguity - 语义不明,Closed,,2,2,"已完成：Timer统一使用系统时钟（ISystemClock）。修改timer.pas 13处代码，更新4个测试文件，新增4个测试。⚠️ Breaking Change: CreateTimerScheduler API签名变更（IMonotonicClock→ISystemClock）。详见docs/reports/ISSUE-27-COMPLETE.md"
ISSUE-28,P1,High,Bug,Timer,timer.pas,99-102,异常静默吞掉,未设置异常处理器时异常被静默吞掉,Silent failure - 问题难以发现,Closed,,1,1,已修复：实现 DefaultTimerExceptionHandler 输出到 stderr
ISSUE-29,P1,High,Documentation,Format,format.pas,79-88,TDateTime 精度问题,Double 精度约 1ms，ShowMilliseconds 选项可能不准确,Precision loss - 用户可能不知情,Closed,,0.5,0.2,已添加详细 XML 文档说明 TDateTime ~1ms 精度限制和替代方案
ISSUE-30,P1,High,Design,Format,format.pas,96-107,Locale 格式未标准化,"Locale 字符串格式不明确（en-US? zh_CN? English?）",Compatibility - 跨平台不一致,Closed,,1,0.2,已标准化为 BCP 47，添加详细文档和示例 (en-US, zh-CN, ja-JP)
ISSUE-31,P1,High,Documentation,Format,format.pas,109-142,CustomPattern 未文档化,用户不知道支持哪些模式标记（yyyy? mm? hh?）,Usability - 无法使用,Closed,,1,0.3,已添加完整模式参考文档：日期/时间标记、示例和注意事项
ISSUE-32,P2,Medium,Design,Format,format.pas,64-71,dfHuman 格式不一致,返回近似值（about 1 hour）丢失精度，不可逆,Precision loss - 往返失败,Open,,0.5,,文档说明近似行为
ISSUE-33,P2,Medium,Design,Format,format.pas,Multiple,默认参数不一致,FormatDateTime 默认 dtfISO8601 但 FormatDuration 默认 dfCompact,API consistency - 可能混淆,Open,,0.5,,统一默认值或说明原因
ISSUE-34,P2,Medium,Documentation,Format,format.pas,208-258,相对时间基准不明,FormatRelative 重载使用什么基准时间？,Usability - 行为不明,Closed,,0.5,0.1,已添加详尽 XML 文档：明确说明使用 Now 作为基准、精度限制、使用建议和示例。Sprint 1 完成
ISSUE-35,P2,Medium,Performance,Format,format.pas,240-273,本地化查找性能,每次格式化都查找本地化资源,Performance - 重复查找,Open,,2,,缓存本地化资源
ISSUE-36,P1,High,Documentation,Parse,parse.pas,58-140,解析模式未定义,"pmStrict/pmLenient/pmSmart 行为未定义",Usability - 不知道如何使用,Closed,,1,0.4,已添加详尽文档：行为特点、适用场景、示例、性能对比
ISSUE-37,P1,High,Design,Parse,parse.pas,66-78,时区处理冲突,DefaultTimeZone 和 AssumeUTC 可能冲突,Design flaw - 逻辑错误,Closed,,2,1,"已完成：引入 TTimeZoneMode 枚举（4种模式）替换 DefaultTimeZone 和 AssumeUTC，消除语义冲突。新增3个工厂方法（UTC/WithTimeZone/StrictTimeZone）。新增9个测试。⚠️ Breaking Change，已提供迁移指南。详见 ISSUE-37-fix-report.md"
ISSUE-38,P1,High,Enhancement,Parse,parse.pas,81-89,错误消息国际化,错误消息语言未定义，无错误代码,Usability - 难以处理错误,Closed,,2,1,"已完成：添加 TParseErrorCode 枚举（20个错误类型），扩展 TParseResult 和 TFormatValidationResult，实现国际化支持（英文/中文/日文），更新所有错误返回点。新增15个测试。详见 ISSUE-38-fix-report.md"
ISSUE-39,P2,Medium,Bug,Parse,parse.pas,247,正则缓存泄漏,缓存无限增长,Memory leak - 长期运行泄漏,Open,,2,,实现 LRU 缓存
ISSUE-40,P1,High,Security,Parse,parse.pas,249,正则注入风险,用户提供格式可能包含恶意正则（回溯炸弹）,DoS - CPU 100% 挂起,Closed,,1,1,已修复：实现三层防护：1)格式字符串白名单验证 2)正则复杂度限制 3)输入长度限制。新增13个安全测试。详见 ISSUE_40_FIX_REPORT.md
ISSUE-41,P1,High,Bug,ISO8601,iso8601.pas,149-154,ISO 周日期边界,周日期边界情况（12/29-31 和 1/1-3）可能计算错误,Data corruption - 周数错误,Closed,,2,2,已修复：实现符合ISO 8601-1:2019标准的周数计算算法，正确处理年份边界。替换WeekOfTheYear/EncodeDateWeek为自定义算法。新增18个测试。详见ISSUE_41_FIX_REPORT.md
ISSUE-42,P1,High,Documentation,ISO8601,iso8601.pas,97-173,月份/年份转换,ISO Duration 月份/年份无法精确转换为固定时长,Design limitation - 精度损失或异常,Closed,,1,0.3,已添加详细文档：原因、近似策略、警告、建议用法和示例
ISSUE-43,P3,Low,Enhancement,ISO8601,iso8601.pas,100-112,小数秒精度,Double 精度不足（~15 位）无法表示纳秒,Precision loss - 高精度场景,Open,,2,,分离整数和小数部分
ISSUE-44,P1,High,Bug,ISO8601,iso8601.pas,268-270,DST时区偏移,GetLocalTimeZoneOffset 不接受时间参数，DST 期间不准确,Accuracy - 时区错误,Closed,,1,1,已修复：添加时间参数支持，自动处理DST。Windows使用SystemTimeToTzSpecificLocalTime，POSIX使用localtime_r。新增10个测试。详见ISSUE_44_FIX_REPORT.md
ISSUE-45,P2,Medium,Testing,Format+Parse,Multiple,-,往返一致性,格式化后再解析可能不一致,Quality - 往返失败,Open,,2,,添加往返测试
ISSUE-46,P2,Medium,Enhancement,Parse,parse.pas,Multiple,跨 locale 解析,中文月份无法在英文环境解析,Usability - 跨语言失败,Open,,1,,提供 locale 独立格式
ISSUE-47,P3,Low,Security,Parse,parse.pas,Multiple,输入长度限制,10MB 字符串可能导致 DoS,DoS - 资源耗尽,Open,,0.5,,添加长度限制
ISSUE-48,P3,Low,Security,Format,format.pas,Multiple,格式字符串注入,用户提供格式可能包含 %s 等格式化符号,Security - 信息泄露或崩溃,Open,,1,,转义或验证格式字符串
ISSUE-49,P3,Low,Enhancement,Clock,clock.pas,Multiple,Sleep Strategy API 未实现,"TSleepStrategy 枚举和配置 API（Get/SetSleepStrategy、SetSliceSleepMsFor、SetFinalSpinThresholdNs、SetSpinYieldEvery）设计存在但未实现，导致 8 个测试禁用",API incompleteness - 测试覆盖率降低 15%,Open,,5,,"未来功能：实现可配置睡眠策略以支持能耗/延迟权衡。影响测试：Test_fafafa_core_time_api_ext、Test_fafafa_core_time_wait_matrix、Test_fafafa_core_time_short_sleep、Test_fafafa_core_time_config_matrix、Test_fafafa_core_time_platform_sleep、Test_fafafa_core_time_platform_strategy_compare、Test_fafafa_core_time_platform_lightload、Test_fafafa_core_time_qpc_fallback（需 testhooks 单元）"
